Country,Index,Week,Closing Price
Switzerland,SMI,31/01/2020,"8,361.37"
Switzerland,SMI,07/02/2020,"8,728.98"
Switzerland,SMI,14/02/2020,"8,686.82"
Switzerland,SMI,21/02/2020,"8,759.91"
Switzerland,SMI,28/02/2020,"7,944.16"
Switzerland,SMI,06/03/2020,"7,962.96"
Switzerland,SMI,13/03/2020,"7,177.98"
Switzerland,SMI,20/03/2020,"7,509.53"
Switzerland,SMI,27/03/2020,"7,593.10"
Switzerland,SMI,03/04/2020,"7,710.64"
Switzerland,SMI,10/04/2020,"7,857.76"
Switzerland,SMI,17/04/2020,"7,952.48"
Switzerland,SMI,24/04/2020,"7,999.28"
Switzerland,SMI,01/05/2020,"8,013.18"
Switzerland,SMI,08/05/2020,"8,026.24"
Switzerland,SMI,15/05/2020,"8,065.32"
Switzerland,SMI,22/05/2020,"8,204.06"
Switzerland,SMI,29/05/2020,"8,286.09"
Switzerland,SMI,05/06/2020,"8,361.74"
United States,SP500,10/01/2020,"2,522.25"
United States,SP500,17/01/2020,"2,466.23"
United States,SP500,24/01/2020,"2,429.68"
United States,SP500,31/01/2020,"2,365.90"
United States,SP500,07/02/2020,"2,361.42"
United States,SP500,14/02/2020,"2,264.20"
United States,SP500,21/02/2020,"2,293.79"
United States,SP500,28/02/2020,"2,299.82"
United States,SP500,06/03/2020,"2,240.45"
United States,SP500,13/03/2020,"2,029.89"
United States,SP500,20/03/2020,"2,040.37"
United States,SP500,27/03/2020,"1,980.00"
United States,SP500,03/04/2020,"2,208.40"
United States,SP500,10/04/2020,"2,278.20"
United States,SP500,17/04/2020,"2,304.38"
United States,SP500,24/04/2020,"2,573.64"
United States,SP500,01/05/2020,"2,590.96"
United States,SP500,08/05/2020,"2,581.44"
United States,SP500,15/05/2020,"2,443.75"
United States,SP500,22/05/2020,"2,520.24"
United States,SP500,29/05/2020,"2,559.68"
United States,SP500,05/06/2020,"2,500.47"
Israel,TA125,10/01/2020,358.76
Israel,TA125,17/01/2020,368.83
Israel,TA125,24/01/2020,371.9
Israel,TA125,31/01/2020,359.19
